collection	filename	language	temp
british library	Or_11630.xml	fa	TRUE
british library	Or_11675.xml	fa	TRUE
british library	Or_11676.xml	fa	TRUE
british library	Or_11686.xml	fa	TRUE
british library	Or_11844.xml	fa	TRUE
british library	Or_11846.xml	fa	TRUE
british library	Or_11919.xml	fa	TRUE
british library	Or_12003.xml	fa	TRUE
british library	Or_12079.xml	fa	TRUE
british library	Or_12087.xml	fa	TRUE
british library	Or_12688.xml	fa	TRUE
british library	Or_12856.xml	fa	TRUE
british library	Or_12969.xml	fa	TRUE
british library	Or_12999.xml	fa	TRUE
british library	Or_13000.xml	fa	TRUE
british library	Or_13163.xml	fa	TRUE
british library	Or_13193.xml	fa	TRUE
british library	Or_13214.xml	fa	TRUE
british library	Or_13529.xml	fa	TRUE
british library	Or_13761.xml	fa	TRUE
british library	Or_13802.xml	fa	TRUE
british library	Or_13859.xml	fa	TRUE
british library	Or_13948.xml	fa	TRUE
british library	Or_13949.xml	fa	TRUE
british library	Or_14035.xml	fa	TRUE
british library	Or_14044.xml	fa	TRUE
british library	Or_14139.xml	fa	TRUE
british library	Or_14170.xml	fa	TRUE
british library	Or_14237.xml	fa	TRUE
british library	Or_14316.xml	fa	TRUE
british library	Or_14367.xml	fa	TRUE
british library	Or_14465.xml	fa	TRUE
british library	Or_14832.xml	fa	TRUE
british library	Or_14892.xml	fa	TRUE
british library	Or_14949.xml	fa	TRUE
british library	Or_15179.xml	fa	TRUE
british library	Or_15395.xml	fa	TRUE
british library	Or_4110.xml	fa	TRUE
british library	Or_5012.xml	fa	TRUE
british library	Or_5096.xml	fa	TRUE
british library	Or_5321.xml	fa	TRUE
british library	Or_5341.xml	fa	TRUE
british library	Or_5344.xml	fa	TRUE
british library	Or_5411.xml	fa	TRUE
british library	Or_5572.xml	fa	TRUE
british library	Or_5770.xml	fa	TRUE
british library	Or_5851.xml	fa	TRUE
british library	Or_6427.xml	fa	TRUE
british library	Or_6478.xml	fa	TRUE
british library	Or_6505.xml	fa	TRUE
british library	Or_6572.xml	fa	TRUE
british library	Or_6634.xml	fa	TRUE
british library	Or_6810.xml	fa	TRUE
british library	Or_7048.xml	fa	TRUE
british library	Or_7505.xml	fa	TRUE
british library	Or_7534.xml	fa	TRUE
british library	Or_7587.xml	fa	TRUE
british library	Or_7814.xml	fa	TRUE
british library	Or_7944.xml	fa	TRUE
british library	Or_7986.xml	fa	TRUE
british library	Or_8020.xml	fa	TRUE
british library	Or_8306.xml	fa	TRUE
british library	Or_8365.xml	fa	TRUE
british library	Or_8445.xml	fa	TRUE
british library	Or_8755.xml	fa	TRUE
british library	Or_8760.xml	fa	TRUE
british library	Or_9112.xml	fa	TRUE
british library	Or_9347.xml	fa	TRUE
british library	Or_9456.xml	fa	TRUE
british library	Or_9461.xml	fa	TRUE
british library	Or_9464.xml	fa	TRUE
british library	Or_9465.xml	fa	TRUE
british library	Or_9467.xml	fa	TRUE
british library	Or_9493.xml	fa	TRUE
british library	Or_9591.xml	fa	TRUE
british library	Or_9601.xml	fa	TRUE
british library	Or_9688.xml	fa	TRUE
british library	Or_9716.xml	fa	TRUE
british library	Or_9725.xml	fa	TRUE
british library	Or_9846.xml	fa	TRUE
british library	Or_9863.xml	fa	TRUE
british library	Or_10908.xml	fa	TRUE
british library	Or_10908.xml	ar	TRUE
british library	Or_9567.xml	fa	TRUE
british library	Or_9567.xml	ar	TRUE
british library	Or_13872.xml	he	TRUE
british library	Or_2451.xml	he	TRUE
british library	Or_9884.xml	he	TRUE
british library	Or_9884.xml	jpr	TRUE
british library	Or_10482.xml	jpr	TRUE
british library	Or_5557_Z.xml	jpr	TRUE
